speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Mustelus plebejus,synonym,5938,Mustelus asterias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Starry smooth-hound,TRUE,056,Belgium,fishbase,24.07
Mustelus stellatus,synonym,5938,Mustelus asterias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Starry smooth-hound,TRUE,056,Belgium,fishbase,24.07
Squalus albomaculatus,synonym,5938,Mustelus asterias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Starry smooth-hound,TRUE,056,Belgium,fishbase,24.07
Squalus hinnulus,synonym,5938,Mustelus asterias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Starry smooth-hound,TRUE,056,Belgium,fishbase,24.07
Mustelus mustelus,accepted name,4996,Mustelus mustelus,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Smooth-hound,TRUE,056,Belgium,fishbase,24.07
Galeus laevis,synonym,4996,Mustelus mustelus,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Smooth-hound,TRUE,056,Belgium,fishbase,24.07
Mustellus levis,synonym,4996,Mustelus mustelus,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Smooth-hound,TRUE,056,Belgium,fishbase,24.07
Mustelus equestris,synonym,4996,Mustelus mustelus,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Smooth-hound,TRUE,056,Belgium,fishbase,24.07
Mustelus laevis,synonym,4996,Mustelus mustelus,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Smooth-hound,TRUE,056,Belgium,fishbase,24.07
Squalus mustelus,synonym,4996,Mustelus mustelus,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Smooth-hound,TRUE,056,Belgium,fishbase,24.07
Echinorhinus brucus,accepted name,641,Echinorhinus brucus,Elasmobranchii,Echinorhiniformes,Echinorhinidae,Echinorhinus,Bramble shark,TRUE,056,Belgium,fishbase,24.07
Echinorhinus mccoyi,synonym,641,Echinorhinus brucus,Elasmobranchii,Echinorhiniformes,Echinorhinidae,Echinorhinus,Bramble shark,TRUE,056,Belgium,fishbase,24.07
Echinorhinus obesus,synonym,641,Echinorhinus brucus,Elasmobranchii,Echinorhiniformes,Echinorhinidae,Echinorhinus,Bramble shark,TRUE,056,Belgium,fishbase,24.07
Echinorhinus spinosus,synonym,641,Echinorhinus brucus,Elasmobranchii,Echinorhiniformes,Echinorhinidae,Echinorhinus,Bramble shark,TRUE,056,Belgium,fishbase,24.07
Squalus brucus,synonym,641,Echinorhinus brucus,Elasmobranchii,Echinorhiniformes,Echinorhinidae,Echinorhinus,Bramble shark,TRUE,056,Belgium,fishbase,24.07
Squalus spinosus,synonym,641,Echinorhinus brucus,Elasmobranchii,Echinorhiniformes,Echinorhinidae,Echinorhinus,Bramble shark,TRUE,056,Belgium,fishbase,24.07
Hexanchus griseus,accepted name,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Hexanchus corinum,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
